Loc,MinT,MaxT,Rain,WDir,WSpeed,WDir9,WDir3,WSpeed9,WSpeed3,Hum9,Hum3,Press9,Press3,Temp9,Temp3,Rtod,RTom
0,10.0,26.2,0.0,14,37,0,14,4,20,67,25,1013.8,1011.8,17.1,24.9,0,0
0,14.3,21.6,19.2,15,50,14,15,9,28,98,44,1011.8,1010.3,14.5,20.2,1,0
0,0.2,13.6,0.0,14,30,2,13,7,19,100,50,1022.9,1020.5,4.0,13.0,0,0
0,17.5,30.0,1.0,12,43,0,13,6,30,75,35,1005.4,1000.5,22.2,28.4,0,0
0,15.2,26.3,0.0,13,43,15,13,20,26,54,24,1010.9,1009.8,19.4,24.8,0,0
0,8.6,27.5,0.0,7,22,8,9,6,11,64,40,1026.9,1024.1,15.8,26.2,0,0
0,5.7,21.5,0.0,14,24,2,6,7,6,78,41,1023.8,1019.7,11.9,21.0,0,0
0,15.6,34.4,0.0,4,28,4,4,13,11,38,19,1020.4,1015.2,24.7,33.0,0,0
0,12.8,25.8,0.0,14,30,10,8,7,7,60,40,1024.6,1021.6,18.1,24.9,0,0
0,12.6,24.4,17.4,14,30,11,13,6,11,98,50,1016.0,1014.9,14.5,23.8,1,0
0,12.8,32.8,0.0,6,33,2,9,11,11,46,33,1013.1,1008.7,21.6,31.8,0,0
0,8.3,13.2,2.4,14,24,7,15,11,9,98,81,1026.0,1025.4,9.3,12.1,1,0
0,10.0,27.4,0.0,4,28,0,6,2,9,75,31,1018.2,1015.6,14.5,26.2,0,0
0,0.8,11.0,0.0,1,13,2,0,4,9,100,74,1024.3,1019.8,4.9,10.8,0,0
0,3.4,17.5,1.2,14,24,9,14,6,13,82,57,1023.3,1021.0,9.8,15.5,1,0
0,15.3,32.9,0.0,14,31,15,12,15,15,60,20,1008.5,1005.3,18.4,31.8,0,0
0,3.6,19.4,0.2,3,28,2,3,9,11,78,40,1023.4,1019.7,10.1,18.9,0,0
0,11.0,17.5,2.4,13,37,14,6,9,9,73,39,1017.2,1017.0,12.5,17.0,1,0
0,5.2,23.7,0.0,6,22,9,14,7,7,69,35,1033.4,1029.7,12.7,23.0,0,0
0,18.1,37.2,0.0,13,44,9,14,4,13,47,25,1013.7,1011.2,24.2,36.4,0,0
0,11.2,22.5,10.6,10,43,15,12,24,17,47,32,1009.4,1009.7,15.5,21.0,1,0
0,19.9,38.2,0.0,8,24,10,8,7,17,56,25,1015.3,1011.4,25.3,37.3,0,0
0,18.7,29.1,0.0,11,41,6,10,7,17,45,39,1010.1,1010.8,21.5,26.8,0,0
0,7.4,12.3,4.4,15,39,7,13,9,28,98,59,1019.6,1020.6,7.8,11.2,1,0
0,7.1,15.1,0.0,7,17,11,12,7,6,86,71,1015.8,1014.9,11.2,14.2,0,0
0,17.9,35.4,0.0,3,28,1,2,11,13,48,25,1015.9,1010.4,26.2,33.6,0,0
0,0.2,10.9,0.2,2,19,8,10,2,7,99,70,1027.6,1024.0,3.2,10.2,0,0
0,17.7,36.4,0.0,13,43,8,15,7,15,45,14,1011.4,1007.9,24.2,35.3,0,0
0,13.9,25.1,1.0,13,44,15,14,15,26,62,28,1008.6,1007.7,18.8,24.0,0,0
0,9.3,21.9,0.0,15,43,15,14,22,26,62,35,1012.0,1011.9,14.9,19.6,0,0
0,13.7,28.8,0.0,1,24,9,4,6,7,67,36,1015.0,1010.4,18.6,27.6,0,0
0,14.3,31.7,0.0,6,24,10,1,11,6,63,24,1019.6,1017.2,19.4,28.7,0,0
0,1.6,19.7,0.0,14,17,6,14,7,9,90,38,1020.9,1018.7,7.4,19.4,0,0
0,19.8,36.8,0.0,3,33,8,4,4,15,41,15,1022.0,1016.7,26.0,35.1,0,0
0,0.8,13.7,0.0,13,31,2,14,6,20,77,61,1022.5,1020.6,7.7,12.8,0,0
0,2.7,15.5,0.0,14,41,13,14,13,19,73,55,1017.9,1017.0,9.1,14.3,0,0
0,10.8,29.4,0.0,7,33,9,12,6,13,62,21,1011.8,1009.5,18.5,27.9,0,0
0,17.8,36.1,0.4,15,28,9,7,11,11,59,26,1015.7,1012.8,24.8,34.2,0,0
0,18.0,33.5,0.0,10,35,1,3,11,7,48,30,1017.5,1013.1,24.3,32.4,0,0
0,9.9,17.4,15.8,10,35,13,2,20,17,71,49,1021.1,1023.1,12.6,15.8,1,0
0,0.3,17.0,0.0,9,19,2,2,6,6,83,51,1031.7,1025.7,7.0,15.9,0,0
0,14.5,28.6,0.0,14,57,2,5,7,17,81,51,1018.1,1013.2,20.1,28.0,0,0
0,5.2,17.6,0.4,15,26,3,13,4,13,100,47,1016.8,1014.1,9.7,17.2,0,0
0,13.2,20.0,4.0,3,63,14,13,30,28,74,46,1012.1,1013.0,16.7,17.7,1,0
0,13.1,24.1,0.0,14,39,8,14,11,22,54,29,1011.6,1009.4,18.0,23.5,0,0
0,12.0,27.3,0.0,4,26,0,10,7,9,63,39,1026.0,1022.1,18.3,25.5,0,0
0,12.4,25.2,0.0,10,35,9,9,19,19,54,34,1019.7,1016.5,16.6,24.0,0,0
0,6.4,25.7,0.0,1,30,9,5,9,15,79,40,1024.8,1020.0,13.0,24.8,0,0
0,1.7,12.3,5.4,15,33,15,13,15,15,90,78,1019.2,1020.1,7.5,11.0,1,0
0,9.2,29.9,0.0,8,20,9,2,7,11,52,27,1019.1,1016.8,17.0,27.9,0,0
0,1.7,15.9,0.0,5,24,2,1,7,13,74,51,1026.9,1022.6,8.8,14.6,0,0
0,18.9,30.6,0.2,15,44,1,13,6,15,40,32,1003.1,999.1,22.3,27.5,0,0
0,6.3,16.9,1.4,7,35,2,14,6,13,85,58,1014.4,1012.3,12.5,15.5,1,0
0,2.3,16.7,0.0,1,43,0,4,6,17,97,65,1018.2,1013.8,7.3,15.4,0,0
0,5.6,14.2,2.8,13,28,7,13,17,15,87,53,1022.2,1021.0,10.8,13.7,1,0
0,6.7,10.5,9.8,14,35,14,14,19,17,87,91,1008.7,1010.6,7.8,8.5,1,0
0,12.2,26.4,3.0,13,41,7,13,11,17,60,19,1015.0,1014.1,16.0,24.9,1,0
0,16.2,33.0,0.0,6,26,9,4,13,9,53,29,1018.4,1015.4,23.9,31.2,0,0
0,15.1,25.6,0.4,13,43,13,15,20,26,72,21,1004.6,1003.8,17.6,24.7,0,0
0,5.1,25.1,0.0,15,35,11,12,7,11,69,34,1016.5,1013.8,13.4,23.4,0,0
0,4.3,20.3,0.0,13,22,8,2,11,7,64,29,1032.4,1030.9,10.2,18.3,0,0
0,5.4,20.6,0.0,6,22,4,14,6,11,98,46,1018.8,1015.0,10.2,19.2,0,0
0,16.5,31.6,0.0,1,39,1,4,19,20,48,30,1020.9,1017.1,23.5,29.3,0,0
0,4.7,19.8,0.0,9,24,8,9,4,19,75,43,1025.2,1021.4,10.1,19.6,0,0
0,5.7,13.2,0.0,14,39,14,14,15,24,91,76,1016.3,1014.9,7.9,12.6,0,0
0,18.0,26.7,25.6,13,39,13,14,11,20,85,50,1009.1,1007.2,20.5,26.0,1,0
0,12.8,30.3,0.0,13,30,13,15,4,13,53,27,1010.5,1008.7,17.3,28.1,0,0
0,14.3,32.5,0.0,9,22,8,1,2,9,49,23,1013.6,1009.3,20.5,31.6,0,0
0,7.0,14.0,7.2,2,15,4,10,2,11,100,91,1022.1,1020.6,9.8,13.6,1,0
0,11.0,32.9,0.0,13,48,10,14,2,19,52,15,1011.8,1008.8,18.5,30.7,0,0
0,24.6,36.8,0.0,3,41,9,9,4,9,54,27,1018.9,1015.0,26.1,35.5,0,0
0,12.2,29.7,0.0,13,30,11,12,9,19,57,32,1014.4,1012.5,18.0,28.0,0,0
0,10.2,25.0,0.0,13,41,8,15,7,22,50,27,1013.9,1012.8,17.4,24.0,0,0
0,0.8,16.8,0.0,15,31,2,13,2,17,71,42,1023.7,1019.9,8.2,16.4,0,0
0,4.2,14.4,3.6,7,43,6,7,13,30,83,56,1016.1,1014.4,6.9,13.6,1,0
0,10.5,26.7,0.0,13,39,13,13,11,15,45,34,1013.6,1010.0,16.0,24.1,0,0
0,22.0,42.7,0.0,2,48,2,12,4,4,33,11,1014.2,1010.5,29.9,42.0,0,0
0,2.6,18.3,0.0,8,15,0,8,6,4,82,42,1025.6,1023.0,9.3,17.9,0,0
0,5.9,15.9,8.2,1,37,15,0,9,6,81,55,1014.4,1015.0,8.4,13.8,1,0
0,20.7,31.4,0.0,1,39,0,8,11,7,53,41,1010.4,1006.1,24.6,30.9,0,0
0,16.1,31.9,0.0,0,22,10,5,13,13,63,38,1011.8,1009.4,21.4,29.5,0,0
0,14.2,30.4,0.0,9,33,10,9,20,11,42,26,1021.0,1017.1,18.9,28.3,0,0
0,2.4,17.5,0.0,9,19,2,0,7,7,79,49,1026.0,1022.9,10.0,17.1,0,0
0,8.2,15.2,17.4,15,19,11,11,7,11,0,77,1013.8,1011.7,-7.0,14.8,1,0
0,12.1,30.5,0.0,10,30,10,10,19,9,38,18,1008.0,1005.9,19.5,28.6,0,0
0,11.6,26.7,9.2,10,19,12,10,2,7,100,50,1021.8,1018.8,14.9,25.6,1,0
0,13.3,25.9,0.0,1,22,12,8,2,11,85,48,1023.9,1020.8,15.6,25.3,0,0
0,10.1,17.8,0.0,13,54,14,13,20,28,70,61,1018.2,1017.4,14.0,16.7,0,0
0,14.5,25.1,0.4,14,37,6,14,11,24,75,33,1012.2,1010.8,16.1,24.0,0,0
0,8.8,20.2,5.8,9,46,11,10,11,31,99,47,1004.7,1004.8,10.8,19.6,1,0
0,5.7,11.8,11.2,12,65,13,15,22,19,87,82,1018.0,1017.7,8.7,7.0,1,0
0,11.1,30.7,0.0,13,28,4,13,4,13,58,23,1015.9,1012.4,18.9,28.7,0,0
0,7.6,27.9,0.0,3,30,9,4,7,9,69,24,1022.2,1018.1,15.8,27.3,0,0
0,8.0,16.9,0.0,9,35,8,9,13,13,61,48,1025.4,1025.1,12.5,16.5,0,0
0,20.4,38.0,0.0,14,56,9,14,9,35,62,22,1009.0,1007.2,24.8,33.4,0,0
0,16.5,29.8,0.4,10,46,9,9,22,20,53,32,1014.0,1012.3,20.0,28.4,0,0
0,12.0,29.4,3.2,13,35,0,1,7,7,68,36,1014.6,1012.2,18.0,27.2,1,0
